lat,lon
41.7032184,-8.7973001
41.7032102,-8.7972928
41.7032021,-8.7972854
41.703194,-8.797278
41.7031859,-8.7972719
41.7031778,-8.7972658
41.7031696,-8.7972596
41.7031615,-8.7972535
41.7031534,-8.7972474
41.7031452,-8.7972412
41.7031371,-8.7972351
41.703129,-8.797229
41.7031226,-8.7972231
41.7031162,-8.7972172
41.7031099,-8.7972114
41.7031035,-8.7972055
41.7030971,-8.7971996
41.7030908,-8.7971937
41.7030844,-8.7971879
41.703078,-8.797182
41.7030736,-8.7971782
41.7030692,-8.7971745
41.7030649,-8.7971707
41.7030605,-8.797167
41.7030561,-8.7971633
41.7030518,-8.7971595
41.7030474,-8.7971557
41.703043,-8.797152
41.7030346,-8.7971452
41.7030263,-8.7971385
41.7030179,-8.7971318
41.7030095,-8.797125
41.7030011,-8.7971183
41.7029927,-8.7971115
41.7029844,-8.7971047
41.702976,-8.797098
41.7029694,-8.7970921
41.7029627,-8.7970862
41.7029561,-8.7970804
41.7029495,-8.7970745
41.7029429,-8.7970686
41.7029363,-8.7970628
41.7029296,-8.7970569
41.702923,-8.797051
41.7029156,-8.7970446
41.7029083,-8.7970382
41.7029009,-8.7970319
41.7028935,-8.7970255
41.7028861,-8.7970191
41.7028787,-8.7970128
41.7028714,-8.7970064
41.702864,-8.797
41.7028574,-8.796994
41.7028507,-8.796988
41.7028441,-8.796982
41.7028375,-8.796976
41.7028309,-8.79697
41.7028242,-8.796964
41.7028176,-8.796958
41.702811,-8.796952
41.7028031,-8.7969441
41.7027952,-8.7969362
41.7027874,-8.7969284
41.7027795,-8.7969205
41.7027716,-8.7969126
41.7027638,-8.7969047
41.7027559,-8.7968969
41.702748,-8.796889
41.7027411,-8.7968824
41.7027342,-8.7968757
41.7027274,-8.7968691
41.7027205,-8.7968625
41.7027136,-8.7968559
41.7027067,-8.7968493
41.7026999,-8.7968426
41.702693,-8.796836
41.7026866,-8.7968304
41.7026803,-8.7968248
41.7026739,-8.7968191
41.7026675,-8.7968135
41.7026611,-8.7968079
41.7026547,-8.7968023
41.7026484,-8.7967966
41.702642,-8.796791
41.7026356,-8.7967844
41.7026293,-8.7967778
41.7026229,-8.7967711
41.7026165,-8.7967645
41.7026101,-8.7967579
41.7026037,-8.7967512
41.7025974,-8.7967446
41.702591,-8.796738
41.7025832,-8.7967304
41.7025755,-8.7967228
41.7025678,-8.7967151
41.70256,-8.7967075
41.7025522,-8.7966999
41.7025445,-8.7966922
41.7025368,-8.7966846
41.702529,-8.796677
41.702521,-8.7966704
41.702513,-8.7966638
41.702505,-8.7966571
41.702497,-8.7966505
41.702489,-8.7966439
41.702481,-8.7966372
41.702473,-8.7966306
41.702465,-8.796624
41.7024582,-8.7966167
41.7024515,-8.7966095
41.7024447,-8.7966022
41.702438,-8.796595
41.7024313,-8.7965878
41.7024245,-8.7965805
41.7024177,-8.7965733
41.702411,-8.796566
41.7024046,-8.79656
41.7023983,-8.796554
41.7023919,-8.796548
41.7023855,-8.796542
41.7023791,-8.796536
41.7023727,-8.79653
41.7023664,-8.796524
41.70236,-8.796518
41.7023529,-8.796511
41.7023457,-8.796504
41.7023386,-8.796497
41.7023315,-8.79649
41.7023244,-8.796483
41.7023173,-8.796476
41.7023101,-8.796469
41.702303,-8.796462
41.7022976,-8.7964564
41.7022922,-8.7964507
41.7022869,-8.7964451
41.7022815,-8.7964395
41.7022761,-8.7964339
41.7022707,-8.7964282
41.7022654,-8.7964226
41.70226,-8.796417
41.7022546,-8.7964111
41.7022493,-8.7964052
41.7022439,-8.7963994
41.7022385,-8.7963935
41.7022331,-8.7963876
41.7022277,-8.7963818
41.7022224,-8.7963759
41.702217,-8.79637
41.7022109,-8.7963644
41.7022047,-8.7963587
41.7021986,-8.7963531
41.7021925,-8.7963475
41.7021864,-8.7963419
41.7021802,-8.7963362
41.7021741,-8.7963306
41.702168,-8.796325
